reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
11738c1b-b595-4576-800d-42f4567a7383,Fikri Alfakhrizy,https://play-lh.googleusercontent.com/a/ACg8ocJ2RYBLqLc3zZVtCb4qCJRqGbAA7cf9UmGDPQqi41O_aPxCLA=mo,"jaringan bagus, penyimpanan besar,tapi udah berkali-kali aplikasinya sering susah dibuka (cuma load di logo tiktok), akhirnya kalo mau make aplikasinya harus re-instal dulu,dan itu benar-benar nyusahin dan merugikan buat pengguna yang nyimpan banyak draft konten seperti saya.bisa tolong diperbaiki atau beri tau cara mengatasinya?",1,222,35.7.3,2024-07-23 10:18:20,,,35.7.3
2d44a5a2-8a45-48c2-9865-d403359b23a8,Im Catty,https://play-lh.googleusercontent.com/a/ACg8ocJfpXFmBQI9P6-OgLJQbpH_lZJXDRGwSz2ocwA8IsqGr88ShQ=mo,"Jaringannya bagus, penyimpanan besar, tapi udah lebih dari 7x aplikasinya sering susah dibuka (cuma load di logo tiktok), akhirnya kalo mau make aplikasinya harus re-instal dulu, dan itu bener-bener nyusahin dan merugikan buat pengguna yang nyimpen banyak draft konten seperti saya. Bisa tolong diperbaiki atau beri tau cara mengatasinya? Nanti akan saya naikkan jadi bintang 5 jika masalah ini teratasi.",1,14797,35.5.3,2024-07-14 02:59:20,,,35.5.3
7ba928c1-2b6e-49f7-aa03-ff03b61013b8,DNSL GELNANG,https://play-lh.googleusercontent.com/a-/ALV-UjXHIxRPetJHF5PohvVNymQ6wgv1SYx_Ioqh7E7ivMqmp8gWuEU,"Bug nya banyak banget. Aku pakai wifi, sinyalnya itu bagus. waktu aku buka tiktok ada banyak banget bugnya. Kayak video gak bisa Di like atau di pause, terus kadang mau like video malah tiba-tiba masuk live orang, dll. Percuma tiktok update terus sampe GB an kalo banyak Bugnya..",2,2608,35.5.3,2024-07-07 01:33:58,,,35.5.3
bd4945f1-c23b-4ca9-941b-02a598ce0f8a,Rafif Rafif pratama,https://play-lh.googleusercontent.com/a-/ALV-UjXvSAU0q76hCatuMjsUzsfu2IKVcOWYxuKzoaAwNJLT5MNbeg,"Jaringannya bagus, penyimpanan besar, tapi udah pencet berkali2 aplikasinya sering susah dibuka, akhirnya kalo mau make aplikasinya harus nunggu beberapa menit dulu, dan itu bener-bener nyusahin.Bisa tolong diperbaiki atau beri tau cara mengatasinya? Nanti akan saya naikkan jadi bintang 5 jika masalah ini teratasi, termksh.",1,827,35.5.3,2024-07-17 12:13:24,,,35.5.3
a8676bad-9314-481d-874a-86709c2e680b,Ulfah Afiatunnisa,https://play-lh.googleusercontent.com/a/ACg8ocJj5TTWom122ncdjJ_rzFEsRUP1Q64Zj--_FD6yqHoHxf1r6w=mo,"apk nya emg bagus, tapi makin update ko makin ngocak? bnyk kekurngan, mulai dari fitur sv hasil foto sama vid yg kita buat juga hilang, filter/efek yang tadinya bisa di gunakan ko jadi ""perangkat anda tidak mndukung"" padahal sebelumnya bisa di pakai efek itu, eh ko pas di coba lagi ga mndukung? apk nya pilih kasih mandang hp. tolong dong developer perbaiki lagii, oh iyaa yang tdinya ada fitur glance juga pas di update ko jadi ilang? tolong di adain lagi dong dan jangan mandang hp. terimakasih🤍",4,1389,35.4.4,2024-07-04 08:05:18,,,35.4.4
c75e5e2f-034a-4783-9e14-d521c8e1374b,Lolo tipul,https://play-lh.googleusercontent.com/a/ACg8ocK09VXL_CnIIIhS32s7nbLsYbKyjny0WUB1qxpBbz-Oj3mBQg=mo,"kesel bgt, selalu beberapakali bug ga bisa masuk ke apk nya, cara mengatasi satu satu nya cm re install, udh berapa kali re install ttp aja begitu. Kirain hanya perangkat saya, ternyata baca komen lainnya, ada yang seperti itu juga, tolong di perbaiki",3,450,35.5.3,2024-07-16 22:17:04,,,35.5.3
eda49ff2-6311-436e-b9de-e65093828b76,Dodi Algozalli,https://play-lh.googleusercontent.com/a/ACg8ocL2n8jtnleQLTr7Y9ggIaUg4nO5d2qDpKUl60FOE_h3M_7y5Q=mo,"kok saya sekarang kalau buat video gabisa di save ke galeri lagi? masi ada fitur save nya, cuma ketika di pencet save ada pop up yang menandakan kalau video nya udah kesimpan, tapi ketika cek di galeri nyatanya engga ada sama sekali alias belum kesimpan. tolong diperbaiki lagi",3,143,35.6.3,2024-07-19 18:05:56,,,35.6.3
42623653-a385-48cc-ba11-ed61ae436e66,Eko Sulfianto,https://play-lh.googleusercontent.com/a-/ALV-UjV89s6AwD9k4p_rl6c3LDLU55XhOGIqA4CTrLKgNINGQ6jBBJzd,"Setelah diupdate malah gak bisa masuk. Jadi hang lama banget malah bikin hp bug lama. Ini update baru atau ngasih virus???? Tambahan: UI-nya berubah-ubah. Sekarang susah menambahkan sound yang sudah kita simpan. Dikit-dikit relog, lemot banget, nyusahin banget buat konten kreator dan affiliate. Tidak efisien dan buang-buang waktu.",1,11911,35.4.4,2024-07-07 15:20:39,,,35.4.4
97790e4e-4cdb-4b4e-9a05-cbfe92f49a93,Kim Seo Hyun,https://play-lh.googleusercontent.com/a/ACg8ocK7MVwnE96ZfKxieXEidDfeGewA8IwYDflDzIyAFTWhgqi0LQ=mo,"Tik tok sekarang jelek bgt parah 🐽📌📌,,,masa video yg di draf lagu nya tiba2 hilang dari videonya,,, setiap draf video mau posting nya bsok..eh malah lagi nya tiba2 hilang,,, Tolong tik tok... perbaiki bug nya.. Makin di update bukan nya makin bagus.. sekarang malah makin jelek bgtt📌📌🐽,,,tik tok jelek Dan sekarang Tik tok jga,, kualitas video yg di posting bures,, padahal awal posting video jernih..tpi setelah beberapa jam . video nya langsung bures bgt,,",3,3672,35.5.3,2024-07-06 12:01:00,,,35.5.3
1d414a23-2b6e-403c-92bd-95f90ae1d200,Sudarwanto,https://play-lh.googleusercontent.com/a-/ALV-UjVTCprnWXjo_7cbbuBon21tPxs2O5xSdssyDBrjIxqZYpA1iedeqA,"Seringkali ketika aplikasi di klik tidak mau terbuka dan tidak bisa masuk, sehingga seringnya harus di uninstall dulu, baru kemudian di install ulang. Kecenderungannya untuk scroll juga semakin lambat dan berat, malah kadang keluar sendiri, padahal tidak ada masalah dengan hp. Oleh karena itu semoga pihak TikTok dapat mengidentifikasi dan memperbaiki masalahnya, dan kedepan bisa lebih baik lagi. Terima kasi.. 🙏",2,769,35.5.3,2024-07-12 07:24:50,,,35.5.3
